INSTANCE NAME;EQUIVALENCE CLASS;EQUIVALENCE CLASS DEFINITION;HYPERNYM;HYPERNYM DEFINITION;TOP LEVEL CATEGORY
Business Analytics Intern , LinkedIn ;Business Analytics;{Predictive} Business Analyst {doing analysis through statistical models};Business Analyst;{Business-centered} Analyst {analysing company data from business aspects};Analyst
Business Intelligence intern, The Climate Corporation;Business Intelligence;{Descriptive} Business Analyst {doing analysis through consistent metrics};Business Analyst;{Business-centered} Analyst {analysing company data from business aspects};Analyst
Competitive Intelligence Intern, Blue Shield of California;Business Intelligence;{Descriptive} Business Analyst {doing analysis through consistent metrics};Business Analyst;{Business-centered} Analyst {analysing company data from business aspects};Analyst
Global Business Intelligence Intern, Apple Inc.;Business Intelligence;{Descriptive} Business Analyst {doing analysis through consistent metrics};Business Analyst;{Business-centered} Analyst {analysing company data from business aspects};Analyst
Human Resources Business Intelligence Intern, Salesforce;Business Intelligence;{Descriptive} Business Analyst {doing analysis through consistent metrics};Business Analyst;{Business-centered} Analyst {analysing company data from business aspects};Analyst
Sr. Sales Operations Analyst, Twitter, Inc.;Sales Analyst;{Sales} Analyst {doing analytical work for the purpose of directly understanding sales};Business Analyst;{Business-centered} Analyst {analysing company data from business aspects};Analyst
Analytics Intern, Apple;Data Analyst;{Technical} Analyst {working with analysing large amount of available raw data};Data Analyst;{Technical} Analyst {working with data in a general sense};Analyst
Data Analytics Intern, Beyond The Arc;Data Analyst;{Technical} Analyst {working with analysing large amount of available raw data};Data Analyst;{Technical} Analyst {working with data in a general sense};Analyst
President and CTO, Self;Self-employed;{Self-employed} Consultant {working with other companies or for yourself};Self-employed;{Self-employed} Consultant {working with other companies or for yourself};Consulting
User Interface Designer & Developer, Cityspan Technologies, Inc.;UI Design;{Digital user interface} Designer {defining the graphical look of a product};Graphic Design;{Graphic} Design {centered around creating aesthetics for flatsurfaces};Design
User Interface Engineer Intern, Sony Network Entertainment;UI Design;{Digital user interface} Designer {defining the graphical look of a product};Graphic Design;{Graphic} Design {centered around creating aesthetics for flatsurfaces};Design
User Interface/User Experience Design, Good Research;UI Design;{Digital user interface} Designer {defining the graphical look of a product};Graphic Design;{Graphic} Design {centered around creating aesthetics for flatsurfaces};Design
Visual and Interaction Design Intern, Autodesk;UI Design;{Digital user interface} Designer {defining the graphical look of a product};Graphic Design;{Graphic} Design {centered around creating aesthetics for flatsurfaces};Design
Product Design and Management intern, GNOME project: ownCloud;Product Design;{General} Product designer {developing the concept or design of new products};Product Design;{Product} Design {both physical can conceptual design};Design
Product Design Intern, Aution.com;Product Design;{General} Product designer {developing the concept or design of new products};Product Design;{Product} Design {both physical can conceptual design};Design
Big Data Analytics Engineer, Service Now;Data Analyst;{Technical} Analyst {working with analysing large amount of available raw data};Data Analyst;{Technical} Analyst {working with data in a general sense};Engineer
License and Compliance Engineer, Adobe Systems;Compliance Engineer;{Compliance} Engineer {determing whether standards and licenses are being followed};Operations Engineer;{Operations} Engineer {working on optimizing workflow through different means};Engineer
Field Engineer, Captricity;Field Engineer;{Front-line} Engineer {working in the field. Often for the oil industry};Operations Engineer;{Operations} Engineer {working on optimizing workflow through different means};Engineer
Pipeline Engineer, DreamWorks Animation;Field Engineer;{Front-line} Engineer {working in the field. Often for the oil industry};Operations Engineer;{Operations} Engineer {working on optimizing workflow through different means};Engineer
Engineering Innovation Intern, Symantec;Growth Engineer;{Growth} Engineer {focused on technical ways to attract new customers};Operations Engineer;{Operations} Engineer {working on optimizing workflow through different means};Engineer
Growth Engineer, Optimizely;Growth Engineer;{Growth} Engineer {focused on technical ways to attract new customers};Operations Engineer;{Operations} Engineer {working on optimizing workflow through different means};Engineer
Senior Support Engineer, Google;Support Engineer;{Support} Engineer {working on optimizing support efforts};Operations Engineer;{Operations} Engineer {working on optimizing workflow through different means};Engineer
bioinformatics programmer, University of California, Berkeley;Bio Informatics;{Specialized} Software engineer {working in the field of bioinformatics};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Game Developer, Motion Math Inc.;Game Developer;{Specialized} Software Engineer {working for the video game industry};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Engineering Intern, TubeMogul;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Product Software Engineer, Disqus;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Developer Intern, Ancestry.com;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Developer Intern, NetApp;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Developer, Vitera Healthcare Solutions;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Development, Kaiser Permanente;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Engineer in Test, Pixar Animation Studios;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Engineer Intern, Common Crawl;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Engineer Intern, Survey Monkey;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Software Engineering Intern, Symantec;Software Engineer;{General} Software Engineer {developing software through programming. Includes both developers and engineers};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Web Developer, LinkedIn;Web Development;{Web-focused} Software Engineer {creating applications specifically for the web};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Web Developer, Optimizely;Web Development;{Web-focused} Software Engineer {creating applications specifically for the web};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Web Developer, Pop Up Archive;Web Development;{Web-focused} Software Engineer {creating applications specifically for the web};Software Engineer;{Software} Engineer {developing computer software through programming};Engineer
Content Architect, Linguastat, Inc.;Data Architect;{Technical} Data architect {working with concrete data};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
Data Architect, UC Berkeley / NSF Grant;Data Architect;{Technical} Data architect {working with concrete data};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
Data Science Intern, Facebook;Data Scientist;{Analytical} Data architect {concerned with finding patterns in raw data};Data Architecture and Design;{Data-centric} IT-specialist {working with data structures and patterns};Information Technology
